Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,1,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,1,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,"General Roca, R’o Negro",,,1,,Frente Grande
86,,,,,,,,,,,,,,
87,,,,,,,,,Provincia de Santa Cruz,,,,,La Campora
88,,,,,,,,,,,,,,
89,,,,,,,,,"Rosario, Santa Fe",,1,1,,Frente Popular Dar’o Santill‡n
90,,,,,,,,,,,,,,
91,,1,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,1,,1,,,,Provincia de Buenos Aires,,,1,,Sindicato Unido Petroleros e Hidrocarbur’feros (SUPeH)/Sindicato de Obreros y Empleados de Estaciones de Servicio y Garajes/Partido Obrero
94,,,,,,,,,,,,,,
95,,,1,1,,,,,"Famatina, La Rioja/Chilecito, La Rioja",,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,1,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,1,1,,,,,,,1,,,Administraci—n Federal de Ingresos Pœblicos
101,,,,,,,,,,,,,,
102,,,1,1,,,,,"San Fernando, Buenos Aires",400,,,,
103,,,,,,,,,,,,,,
104,,,1,,,,1,,"Buenos Aires, Buenos Aires",50,,,,
105,,,,,,,,,,,,,,
106,,,1,,,,1,,"Famatina, La Rioja",,,,,
107,,,,,,,,,,,,,,
108,,1,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,"Buenos Aires, Buenos Aires",,,,,
111,,,,,,,,,,,,,,
112,,,1,1,,,,,"Esquel, Chubut",,,,,"Comunidades de Mapuche/Asambleas Ambientales de Puerto Madryn, R’o Mayo, y Trevelin"
113,,,,,,,,,,,,,,
114,,,1,1,,,,,"Andalgal‡, Catamarca/Bajo La Alumbrera, Catamarca",,,,,El Algarrobo
115,,,,,,,,,,,,,,
116,,1,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,1,1,,,,,"Buenos Aires, Buenos Aires",,,,,Partidos de Izquierda
119,,,,,,,,,,,,,,
120,,,,,,,,,Provincia de Santa Cruz,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,1,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,1,1,,,,,"Buenos Aires, Buenos Aires",,,,,Asociaci—n Gremial de Trabajadores del Subte y Premetro (AGTSyP)/Asociaci—n Trabajadores del Estado/Sindicato ònico de Trabajadores de los Peajes y Afines/Central de Trabajadores de la Argentina (CTA)/Partidos de Izquierda
129,,,,,,,,,,,,,,
130,,,1,,,,1,,"Buenos Aires, Buenos Aires",,,,,Uni—n Argentina de Trabajadores Rurales y Estibadores (UATRE)
131,,,,,,,,,,,,,,
132,,,1,1,,,,,"Rosario, Sante Fe","3,000",,1,,
133,,,,,,,,,,,,,,
134,,1,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,1,1,,,,,"Casilda, Santa Fe/Jun’n, Buenos Aires/R’o Cuarto, C—rdoba/General Pico, La Pampa",,,,,Federaci—n Agraria Argentina (FAA)
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,1,1,,,,,"Pergamino, Buenos Aires",250,,,,
144,,,,,,,,,,,,,,
145,,1,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,1,,,,1,,"Buenos Aires, Buenos Aires/Rosario, Sante Fe",,,,,
148,,,,,,,,,,,,,,
149,,,1,1,,,,,"Rafaela, Sante Fe",,,,,Organizaciones Sociales/Organizaciones Derechos Humanos
150,,,,,,,,,,,,,,
151,,1,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,1,1,,,,,"Buenos Aires, Buenos Aires",50,1,,,Vendedores Callejeros/Confederaci—n Argentina de la Mediana Impresa (CAME)
154,,,,,,,,,,,,,,
155,,,1,1,,,,,"Famatina, La Rioja",300,,,,
156,,,,,,,,,,,,,,
