Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,1,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,1,,,,1,,,,,,,Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU)
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,1,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,1,1,,,,,"Montevideo, Montevideo",,,,,Sindicato Único de las Telecomunicaciones (SUTEL)
20,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,1,1,,,,,"Montevideo, Montevideo",500~,,,,"Despertares, Organización Nacional de Jubilados y Pensionistas del Uruguay (ONAJPU), Coordinadora Nacional de Jubilados y Pensionistas"
24,,,,,,,,,,,,,,
25,,1,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,1,,1,,,,"Montevideo, Montevideo",,,,,Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU)
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,1,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,1,,,,1,,"Montevideo, Montevideo",,,,,Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU)
33,,,,,,,,,,,,,,
34,,1,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,1,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,1,,,1,,,,,,,,Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU)
41,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,1,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,1,,,,1,,"Montevideo, Montevideo",100~,,,,Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU)
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,1,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,1,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,1,,1,,,,,,,,,Unión de Trabajadores del Transporte (UNOTT)
60,,,,,,,,,,,,,,
61,,1,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,1,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,1,,1,,,,,,,,,Asociación de Funcionarios de la Corte Electoral de Uruguay (AFEU)
68,,,,,,,,,,,,,,
69,1,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,1,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,1,,1,,,,"Montevideo, Montevideo",,,,,Asociación de Obreros y Empleados Municipales (ADEOM)
74,,,,,,,,,,,,,,
