"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"22",10,7,0,1,1,1,0,0,0,0,"San Jos_, San Jos_","3000~",0,0,0,"","Unas 3 mil personas, entre empleados públicos, trabajadores de la sa l u d , educadores, estudiantes, artistas, campesinos y ambientalistas, marchan en San José en el marco del Día Internacional de los Trabajadores bajo la consigna “No al Tratado de Libre Comercio (TLC) entre Centroamérica y Estados Unidos”. "
"9",15,9,0,0,0,0,0,0,0,0,"","",0,0,0,"","La vicepresidenta Lineth Saborío advierte a los trabajadores del sector público que no percibirán su salario si se declaran en huelga y participan de la marcha convocada por las centrales sindicales para protestar contra del TLC con EE . UU ."
"3",20,11,0,1,1,0,1,0,0,0,"","16+",0,0,0,"Comisi�n Nacional de Enlace (CNE), Movimiento C�vico Nacional (MCN)","Diversos grupos sociales se declaran en huelga y se movilizan por las calles de todo el país en el marco de una jornada de protestas convocada por la Comisión Nacional de Enlace (CNE) y el Movimiento Cívico Nacional (MCN ) contra el TLC entre Centroamérica y EE . UU. El paro de labores logra un apoyo parcial en el sector público: el gremio educativo (primaria, secundaria y universidades públicas), trabajadores de la salud, agricultores, transport i stas y funcionarios de aduanas y acueductos, entre otros. Diversas manifestaciones tienen lugar en varias provincias, como Ca rtago, Heredia, Puntarenas y Limón. En la capital, un grupo de manifestantes marcha hacia la sede del Congreso; otro grupo se desplaza frente a la Corte Suprema de Justicia. También se producen manifestaciones en el parque Central, en pleno corazón capitalino. Por otra parte, un grupo de agricultores desfila hacia la Ca sa Presidencial, mientras que los estudiantes de la estatal Universidad de Costa Rica (UCR) bloquean una de las vías estratégicas que conecta la zona este de la ciudad. "
"23",25,13,0,1,1,1,0,0,0,0,"Golfito, Puntarenas","",0,0,0,"","Vecinos de diferentes lugares de la zona sur protestan frente a las instalaciones del Depósito Libre Comercial de Golfito para manifestar su oposición al TLC entre República Dominicana, Centroamérica y EE.UU. (DR-CAFTA, por sus siglas en ingles). "
"2",33,18,0,1,1,1,0,0,0,0,"San Jos_, San Jos_","100+",0,0,0,"","Cientos de personas, entre quienes se encuentran muchas mujeres con niños, marchan hacia la Ca sa Presidencial al grito de “Queremos Ca sa!” para reclamar un bono de vivienda. Los manifestantes llegan a San José desde todo el país, incluyendo Guanacaste, Heredia, Cartago, entre otras regiones, luego de que el ministro de Hacienda anuncia el recorte de 10 mil millones de colones para bonos de vivienda. "
"8",38,20,0,1,1,0,0,1,0,0,"San Pedro Montes de Oca, San Jos_","",0,0,0,"","Estudiantes de la UCR toman la Facultad de Ciencias Sociales en protesta por el mal estado del edificio. "
"24",43,22,0,1,1,0,1,0,0,0,"Provincia de Guanacaste","",0,0,0,"","Vecinos del cantón de Nandayure, Guanacaste, se levantan nuevamente en huelga indefinida por el pésimo estado de la red vial nacional, y bloquean las rutas nacionales 901, 903 y 160. Por su parte, los estudiantes del Liceo de San Francisco de Coyote y del Colegio Técnico de Carmona, ambos del cantón de Nandayure, inician una huelga indefinida en apoyo a los vecinos de e sa zona. De acuerdo con los manifestantes, más de 300 estudiantes no pueden llegar a clases debido a diversos problemas en los caminos tales como alcantarillas colapsadas y calles de tierra convertidas en barriales a c a u sa de las fuertes lluvias de los últimos días. Alegan también que en repetidas ocasiones, tanto líderes comunales como el alcalde y miembros del Consejo Municipal de Nandayure, han solicitado al Consejo Nacional de Vialidad (CON AVI) que repare estas vías, pero hasta el momento no han obtenido una respuesta satisfactoria. "
"20",44,24,0,0,0,0,0,0,0,0,"","",0,0,0,"","Trabajadores de la recolección de basura de la Municipalidad de Limón paran en reclamo del pago de los aumentos salariales acordados con el municipio."
"21",49,26,0,1,1,0,1,0,0,0,"","",0,0,0,"Trabajadores del Instituto Costarricense de Acueductos y Alcantarillados (AyA)","Trabajadores del Instituto Costarricense de Acueductos y Alcantarillados (AyA) inician una huelga en reclamo de aumento salarial. "
"25",54,28,0,1,1,0,1,0,0,0,"Provincia de Guanacaste","",0,0,0,"","Vecinos, estudiantes y transportistas del cantón de Nandayure, Guanacaste, cumplen el tercer día de protestas por el pésimo estado de las carreteras nacionales de la zona y aseguran que continuarán realizando manifestaciones y bloqueos por tiempo indefinido hasta que el CON AVI soluciones el problema. "
"17",55,30,0,0,0,0,0,0,0,0,"","",0,0,0,"","Representantes de agrupaciones campesinas, cooperativistas, arroceros, ambientalistas y gremios, entre ellos los sindicatos del Instituto Costarricense de Electricidad (ICE), la Unión Nacional de Empleados de la Caja y la Seguridad Social (UNDECA), la Federación Nacional de Trabajadores del Sector Público y la Asociación Nacional de Empleados Públicos (ANEP), se reúnen con el presidente de la República, Abel Pacheco de la Espriella, en la Casa Presidencial en San José para reiterarles su oposición al DR-CAFTA."
"1",60,33,0,1,1,1,0,0,0,0,"San Jos_, San Jos_","100+",0,0,0,"","A 15 días de la primera marcha por la vivienda realizada en San José, cientos de familias provenientes de todo el país protestan nuevamente bloqueando la calle frente a la Ca sa Presidencial, en Zapote, en demanda de viviendas de interés social. "
"19",68,37,0,0,0,0,0,0,0,0,"","",0,0,0,"","Trabajadores de la Junta de Administración Po rtuaria y de Desa r r o l l o Económico de la Ve rtiente Atlántica (JAPDEVA) aplican “tortuguismo” como medida de presión en reclamo del pago de horas extra y que se mejore el equipo de trabajo. "
"13",73,41,0,1,1,0,1,0,0,0,"Tib�s, San Jos_","",0,0,0,"","Los trabajadores de la Municipalidad de Tibás, provincia de San José, encargados de la recolección de basura y del aseo y limpieza de dicho cantón, se declaran en huelga indefinida. Los trabajadores exigen el pago adeudado correspondiente al aumento salarial del primer semestre y el giro del sa l a r i o escolar. Solicitan, además implementos de trabajo, pues desde hace tres años no se les provee de vestimenta ni elementos de limpieza para recoger los desechos de los 72 mil habitantes del cantón tibaseño."
"18",78,43,0,0,0,0,0,0,0,0,"","",0,0,0,"","Representantes de la Plataforma Sindical Común Centroamericana (PSCC ) que reúne a los sindicatos y organizaciones sociales de Centroamérica, acuerdan –luego de dos días de reuniones– que Costa Rica sea la sede, en octubre de 2005, de la I Cumbre Político Sindical, cuyo objetivo será el de planificar y unificar criterios para la ofensiva que adoptará el istmo, como bloque, contra el DR-CAFTA."
"16",83,45,0,0,0,0,0,0,0,0,"","",0,0,0,"","Mientras se inicia la segunda semana de huelga de los trabajadores encargados de la recolección de basura en la Municipalidad de Tibás, el juzgado de Tr a b a j o del II Circuito Judicial falla a favor del alcalde de Tibás, Pe r cy Rodríguez, y decide declarar ilegal la huelga."
"7",88,47,0,1,1,0,0,0,1,0,"San Pedro Montes de Oca, San Jos_","",0,0,0,"","Estudiantes de la UCR forman una gran cadena humana que impide el ingreso del ex presidente y candidato liberacionista, Oscar Arias, a la universidad, donde iba a dar una charla en el marco de un programa de posgrado."
"14",93,49,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los trabajadores encargados de la recolección de basura en la Municipalidad de Tibás alcanzan un acuerdo con el Concejo de dicho municipio y levantan la huelga. Las partes convienen destinar 8 millones de colones del superávit del período fiscal anterior al pago parcial del salario escolar adeudado a los empleados municipales desde enero. La Municipalidad se compromete también a entregar, en un plazo máximo de 15 días, los implementos exigidos por los trabajadores, que incluyen uniformes y elementos de higiene. Según Albino Vargas, secretario general de la ANEP, el levantamiento de la medida de fuerza es temporal, pues está condicionada a que no se tome ninguna medida contra quienes se alzaron en huelga (declarada ilegal el 18 de julio) y al cumplimiento de las promesas."
"4",98,53,0,0,0,0,0,0,0,0,"","",0,0,0,"","El congreso de EE . UU. ratifica el DR -CA FTA con 217 votos a favor y 215 en contra. "
"6",106,57,0,0,0,0,0,0,0,0,"","",0,0,0,"","En plenario legislativo el Congreso Nacional aprueba el TLC con la Comunidad de Naciones del Caribe (CARICOM). "
"15",111,59,0,1,1,0,1,0,0,0,"San Jos_, San Jos_","",0,0,0,"","Luego de algunas horas de paro, que afectan principalmente la recolección de basura, los trabajadores de la Municipalidad de San José aceptan levantar la medida de fuerza luego de que miembros del Consejo Municipal y la alcaldesa en ejercicio les promete que no habrá despidos ni privatizaciones."
"10",116,61,0,1,1,0,1,0,0,0,"Tib�s, San Jos_","67",0,0,0,"","Los 67 trabajadores de la municipalidad de Tibás, que el mes anterior llevaran adelante una huelga de casi 3 semanas son despedidos sin responsa b i l i d a d patronal por el alcalde de ese cantón, Percy Rodríguez. El 18 de julio el juzgado de Trabajo del II Circuito Judicial había fallado a favor del alcalde de Tibás, declarando ilegal la huelga. Sin embargo, la ANEP hizo uso de su plazo de apelación de 3 días, mientras la declaratoria quedaba en firme. Trabajadores de la Cooperativa de Electrificación Rural de San Ca r l o s (COOPELESCA) de Ciudad Quesada inician una huelga en rechazo al despido de 6 compañeros."
"12",121,65,0,1,1,0,0,0,0,1,"Tib�s, San Jos_","67",0,0,0,"","Los 67 trabajadores despedidos del ayuntamiento de Tibás inician una huelga de hambre en las afueras del palacio municipal. Reclaman ser reincorporados a sus funciones. La carta de notificación de despido recibida por los trabajadores el día anterior, justifica la decisión de cesantearlos por la part i c i p a c i ó n en la huelga declarada ilegal."
