,new_line,line,month,day,protest,march.demonstration,strike,occupation,blockade,hunger.strike,location,number,police,violence,damage,organization,text
8,5,9,0,0,1,0,1,0,0,0,"Provincias de Manab’, Pichincha, Carchi, Chimborazo y Pastaza",,0,0,0,Asociaci—n Nacional de M_dicos Rurales (ANAMER),"La AsociaciÃ_n Nacional de MÃ©dicos Rurales (ANAMER) comienza un paro indefinido en las provincias de ManabÃ_, Pichincha, Carchi, Chimborazo y Pastaza en rechazo al recorte de 40 dÃ_lares que desde julio realiza el Ministerio de Salud sobre los sueldos de 120 dÃ_lares mensuales."
11,9,13,0,0,1,0,0,1,0,0,"Cuenca, Azuay",,0,0,0,Federaci—n de Estudiantes Universitarios del Ecuador (FEUE),La FederaciÃ_n de Estudiantes Universitarios del Ecuador (FEUE) toma el teatro Carlos Cueva de la Universidad de Cuenca en rechazo al incremento de casi siete veces el valor de la matrÃ_cula.
12,13,17,0,0,0,0,0,0,0,0,,,0,0,0,,La FEUE levanta la medida y arregla una reuniÃ_n con las autoridades universitarias para lograr un acuerdo. Octubre Martes 8
7,15,23,0,0,1,0,1,0,0,0,"San Francisco de Quito, Pichincha",,0,0,0,"Asociaci—n de Empleados del Registro Civil, Federaci—n Nacional de Servidores Pœblicos del Registro Civil","La AsociaciÃ_n de Empleados del Registro Civil y la FederaciÃ_n Nacional de Servidores PÃºblicos del Registro Civil comienzan un paro nacional, en demanda de un aumento salarial y del cumplimiento del  convenio que permite trasladar las dependencias del Registro Civil de Quito al edificio del Ministerio de EconomÃ_a. Levantan la medida luego de llegar a un acuerdo con el director nacional del Registro civil. "
23,19,27,0,0,0,0,0,0,0,0,,,0,0,0,,"Se llevan a cabo las elecciones presidenciales, de diputados, consejeros y concejales. En las presidenciales, Lucio GutiÃ©rrez del partido Sociedad PatriÃ_tica 21 de Enero obtiene el primer lugar con el 20,28% de los votos y ÃÅlvaro Noboa del Partido Renovador Institucional AcciÃ_n Nacional (PRIAN) el segundo lugar con el 17,41%. La segunda vuelta serÃ¡ el 24 de noviembre. En CojimÃ_es â€“ManabÃ_â€“ y en Naranjito y Palestina â€“Guayasâ€“ se suspenden las elecciones luego de las reacciones de la poblaciÃ_n ante la desorganizaciÃ_n del sufragio. "
4,23,33,0,0,1,1,0,0,0,0,"Cuenca, Azuay",,0,0,0,Empleados de la Universidad de Cuenca,"Alrededor de 10 mil estudiantes, docentes, empleados, trabajadores y autoridades universitarias de Cuenca realizan una marcha desde la Universidad de Cuenca hacia el parque CalderÃ_n en reclamo de que el gobierno otorgue mayor presupuesto."
,27,,0,0,0,0,0,0,0,0,,,0,0,0,,"La Federación Nacional de Organizaciones Campesinas, Indígenas y Negras (FENOCIN) –"
,28,,0,0,1,1,0,0,0,0,,,0,0,0,,"junto a otras agrupaciones– y representantes de Brasil, Guatemala, Perú y Colombia, inician una marcha nacional contra el Área de Libre Comercio de las Américas (ALCA). "
,29,,0,0,0,0,0,0,0,0,,,0,0,0,,Parten de las ciudades de Loja y Zamora y preveen llegar a Quito el 30 de octubre en vísperas de la séptima reunión ministerial del ALCA.
22,33,41,0,0,0,0,0,0,0,0,,,0,0,0,,"Se llevan a cabo las elecciones presidenciales, de diputados, consejeros y concejales en las poblaciones de Palestina, Naranjito y CojimÃ_es."
